SALES_STAFF_CODE,FIRST_NAME,LAST_NAME,POSITION_EN,WORK_PHONE,EXTENSION,FAX,EMAIL,DATE_HIRED,SALES_BRANCH_CODE,MANAGER_CODE
4,Denis,Pagé,Branch Manager,+33 1 68 94 52 20,325,+33 1 68 94 56 60,DPage@grtd123.com,1996-11-03 00:00:00.000,6,18
5,Élizabeth,Michel,Level 3 Sales Representative,+33 1 68 94 52 20,336,+33 1 68 94 56 60,EMichel@grtd123.com,1995-06-08 00:00:00.000,6,4
6,Émile,Clermont,Level 1 Sales Representative,+33 1 68 94 52 20,378,+33 1 68 94 56 60,EClermont@grtd123.com,1998-04-07 00:00:00.000,6,4
7,Étienne,Jauvin,Level 2 Sales Representative,+33 1 68 94 52 20,398,+33 1 68 94 56 60,EJauvin@grtd123.com,1997-08-16 00:00:00.000,6,4
12,Elsbeth,Wiesinger,Level 2 Sales Representative,+(49) 40 663 1990,1818,+(49) 40 663 4571,EWiesinger@grtd123.com,1997-02-27 00:00:00.000,13,14
13,Else,Mörike,Regional Manager,+(49) 40 663 1990,1865,+(49) 40 663 4571,EMorike@grtd123.com,1999-06-02 00:00:00.000,13,108
14,Frank,Fuchs,Branch Manager,+(49) 40 663 1990,1847,+(49) 40 663 4571,FFuchs@grtd123.com,1997-01-12 00:00:00.000,13,18
15,Gunter,Erler,Level 2 Sales Representative,+(49) 40 663 1990,1823,+(49) 40 663 4571,GErler@grtd123.com,1998-03-05 00:00:00.000,13,14
16,Björn,Winkler,Level 3 Sales Representative,+(49) 89 882 3456,224,+(49) 89 882 3455,BWinkler@grtd123.com,1996-07-03 00:00:00.000,14,17
17,Fritz,Hirsch,Branch Manager,+(49) 89 882 3456,225,+(49) 89 882 3455,FHirsch@grtd123.com,1996-09-12 00:00:00.000,14,18
18,Jörg,Kunze,District Manager,+(49) 89 882 3456,234,+(49) 89 882 3455,JKunze@grtd123.com,2000-01-07 00:00:00.000,14,13
19,Silvano,Allessori,Level 2 Sales Representative,+33 1 68 94 52 20,317,+33 1 68 94 56 60,SAllessori@grtd123.com,1998-12-06 00:00:00.000,7,20
20,Maria,Iacobucci,Branch Manager,+(39) 02 41 05 400,,+(39) 02 41 20 549,MIacobucci@grtd123.com,1996-08-18 00:00:00.000,7,18
21,Alessandra,Torta,Level 3 Sales Representative,+(39) 02 79 53 780,,+(39) 02 79 53 477,ATorta@grtd123.com,1997-02-13 00:00:00.000,7,20
22,Belinda,Jansen-Velasquez,Level 1 Sales Representative,+31 (0)20 692 93 94,187,+31 (0)20 692 93 06,BVelasquez@grtd123.com,1999-02-12 00:00:00.000,9,25
23,Ellen,Shapiro,Level 2 Sales Representative,+31 (0)20 692 93 94,179,+31 (0)20 692 93 06,EShapiro@grtd123.com,1999-01-15 00:00:00.000,9,25
24,Jan,Haverkamp,Level 2 Sales Representative,+31 (0)20 692 93 94,163,+31 (0)20 692 93 06,JHaverkamp@grtd123.com,1998-07-18 00:00:00.000,9,25
25,Kick,Kalkman,Branch Manager,+31 (0)20 692 93 94,197,+31 (0)20 692 93 06,KKalkman@grtd123.com,1995-09-06 00:00:00.000,9,18
26,Maria,Laponder,Level 3 Sales Representative,+31 (0)20 692 93 94,144,+31 (0)20 692 93 06,MLaponder@grtd123.com,1995-10-10 00:00:00.000,9,25
27,Anders,Nilsson,Level 2 Sales Representative,+(46) 08 753 116,236,+(46) 08 752 592,ANilsson@grtd123.com,1998-08-14 00:00:00.000,15,30
28,Bengt,Gradin,Level 1 Sales Representative,+(46) 08 753 116,284,+(46) 08 752 592,BGradin@grtd123.com,1999-01-13 00:00:00.000,15,30
29,Irene,Engelbrektsson,Level 2 Sales Representative,+(46) 08 753 116,213,+(46) 08 752 592,IEngelbrektsson@grtd123.com,1998-02-18 00:00:00.000,15,30
